N°,OFICINAS REGIONALES/U.O.,DEPARTAMENTO,PROVINCIA,DISTRITO,CODIGO SIO DNI NUM,SIGLA TIPO DE LOCAL,ESTADO,CENTRO DE ATENCIÓN,HORARIO DE ATENCIÓN AL PUBLICO, ¿Este Centro de Atención toma fotografía? , ¿Este Centro de Atención entrega DNI Electrónico? , TRAMITE DE DNI MAYOR , TRAMITE DE DNI MENOR , ENTREGAS DE DNI , INSCRIPCION DE REGISTROS CIVILES , CERTIFICACION DE REGISTROS CIVILES , CERTIFICACION DEL RUIPN , EREP ,NOMBRE DE LA VIA
429,15.- HUANUCO,HUANUCO,LEONCIO PRADO,RUPA-RUPA,246,PAP,OPERATIVO,PAP LEONCIO PRADO,08:45 a 16:45,SI,SI,SI,SI,SI,NO,SI,SI,SI,Jirón Chiclayo N° 585
430,15.- HUANUCO,HUANUCO,PACHITEA,PANAO,247,PAP,OPERATIVO,PAP PACHITEA,08:45 a 16:45,SI,SI,SI,SI,SI,NO,SI,SI,SI,Jirón Espinar N° 121
431,15.- HUANUCO,HUANUCO,LAURICOCHA,JESÚS,250,PAP,DESPLAZAMIENTO,PAP LAURICOCHA,08:45 a 16:45,NO,NO,SI,SI,SI,NO,NO,NO,NO,Jirón Cristobal Colon S/N
432,15.- HUANUCO,HUANUCO,YAROWILCA,CHAVINILLO,251,PAP,OPERATIVO,PAP YAROWILCA,08:45 a 16:45,SI,NO,SI,SI,SI,NO,SI,SI,NO,Jirón Virgen de Fátima S/N
433,15.- HUANUCO,PASCO,PASCO,CHAUPIMARCA,340,ORA,OPERATIVO,ORA HOSPITAL II PASCO (ESSALUD),08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,NO, Barrio La Esperanza - Casa de Piedra
434,15.- HUANUCO,HUANUCO,PACHITEA,PANAO,365,ORA,OPERATIVO,ORA PANAO (MINSA),08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,NO,Jirón Grau Nº 193
435,15.- HUANUCO,HUANUCO,LEONCIO PRADO,RUPA-RUPA,366,ORA,OPERATIVO,ORA HOSPITAL TINGO MARIA (MINSA),08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,NO, Mapresa S/N Luyando
436,15.- HUANUCO,HUANUCO,LEONCIO PRADO,JOSÉ CRESPO Y CASTILLO,367,ORA,OPERATIVO,ORA AUCAYACU (MINSA),08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,NO,Jirón Grau S/N cuadra 4
437,15.- HUANUCO,HUANUCO,HUAMALIES,LLATA,368,ORA,DESPLAZAMIENTO,ORA LLATA (MINSA),08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,NO,Jirón 28 de Julio N° 216
438,15.- HUANUCO,HUANUCO,DOS DE MAYO,LA UNION,451,ORA,OPERATIVO,ORA LA UNION (MINSA),08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,NO,Jirón Dos de Mayo N° 185
439,15.- HUANUCO,HUANUCO,LEONCIO PRADO,JOSÉ CRESPO Y CASTILLO,477,PAP,OPERATIVO,PAP JOSE CRESPO Y CASTILLO,08:45 a 16:45,SI,NO,SI,SI,SI,NO,SI,SI,NO,Jirón Maria Parado de Bellido S/N Cuadra 4
440,15.- HUANUCO,HUANUCO,LAURICOCHA,BAÑOS,497,AG,DESPLAZAMIENTO,AG BAÑOS,08:45 a 16:45,NO,NO,SI,SI,SI,NO,NO,NO,NO, Plaza de Armas S/N
441,15.- HUANUCO,PASCO,PASCO,YANACANCHA,501,AG,OPERATIVO,AG PASCO,08:45 a 16:45,SI,SI,SI,SI,SI,NO,SI,SI,SI," Centro Comercial ""Sector Dos de San Juan Pampa Edif. 4 Tienda 3 San Juan-Yanacancha"
442,15.- HUANUCO,PASCO,DANIEL ALCIDES CARRION,YANAHUANCA,502,PAP,OPERATIVO,PAP DANIEL ALCIDES CARRIÓN,08:45 a 16:45,NO,NO,SI,SI,SI,NO,SI,SI,NO,Jirón Jorge Chavez S/N Plaza Principal
443,15.- HUANUCO,PASCO,OXAPAMPA,OXAPAMPA,503,PAP,OPERATIVO,PAP OXAPAMPA,08:45 a 16:45,SI,SI,SI,SI,SI,NO,SI,SI,SI,Jirón Huancabamba S/N Mz. 162 Estadio Municipal Oxapampa
444,15.- HUANUCO,SAN MARTIN,TOCACHE,UCHIZA,541,AG,OPERATIVO,AG UCHIZA,08:45 a 16:45,NO,NO,SI,SI,SI,NO,NO,NO,NO,Avenida Atahualpa N° 920
445,15.- HUANUCO,PASCO,OXAPAMPA,PALCAZÚ,580,AG,OPERATIVO,AG PALCAZU,08:45 a 16:45,SI,NO,SI,SI,SI,NO,SI,SI,NO,Avenida Juan Santos Atahualpa Mz. U Lt. 01
446,15.- HUANUCO,SAN MARTIN,TOCACHE,TOCACHE,588,PAP,OPERATIVO,PAP TOCACHE,08:45 a 16:45,SI,SI,SI,SI,SI,NO,SI,SI,SI,Jirón San Juan Cdra 7 S/N Centro Cívico
447,15.- HUANUCO,HUANUCO,HUANUCO,CHINCHAO,596,ORA,OPERATIVO,ORA ACOMAYO (MINSA),08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,NO,Pasaje Iguarizo S/N Mz. 6 Lt. 02
448,15.- HUANUCO,SAN MARTIN,TOCACHE,TOCACHE,650,ORA,OPERATIVO,ORA HOSPITAL DE TOCACHE (MINSA),08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,NO,Jirón Ricardo Palma N° 550
449,15.- HUANUCO,HUANUCO,HUANUCO,SANTA MARIA DEL VALLE,653,ORA,DESPLAZAMIENTO,ORA SANTA MARIA DEL VALLE (MINSA),08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,NO,Jirón Libertad  S/N Intersección Carretera Central 
450,15.- HUANUCO,HUANUCO,HUANUCO ,AMARILIS ,749,ORA,OPERATIVO,ORA CARLOS SHOWING FERRARI (MINSA),08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,NO,Jirón Micaela Bastidas S/N Paucarbamba 
451,15.- HUANUCO,PASCO,OXAPAMPA,OXAPAMPA,660,ORA,DESPLAZAMIENTO,ORA HOSPITAL ERNESTO GERMAN GUZMAN GONZALES (MINSA),08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,NO,Jirón Eduardo Loechle S/N - Chontabamba
452,15.- HUANUCO,HUANUCO,HUANUCO,HUANUCO,802,MAC,OPERATIVO,MAC - HUANUCO,08:30 a 16:30,SI,SI,SI,SI,SI,NO,SI,SI,SI,"Jirón Independencia N° 1601, Centro Comercial Real Plaza, Primer Piso"
453,15.- HUANUCO,HUANUCO,PACHITEA,UMARI,597,ORA,DESPLAZAMIENTO,ORA TAMBILLO UMARI (MINSA),08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,NO,Carretera Huanuco - Panao Km 37
454,15.- HUANUCO,HUANUCO,YAROWILCA,CHAVINILLO,644,ORA,DESPLAZAMIENTO,ORA CHAVINILLO (MINSA),08:45 a 16:30,SI,NO,NO,SI,SI,SI,NO,NO,NO,Avenida San Juan N° 102
455,15.- HUANUCO,PASCO,OXAPAMPA,CONSTITUCIÓN,548,AG,OPERATIVO,AG CONSTITUCION,08:45 a 16:45,NO,NO,SI,SI,SI,NO,NO,NO,NO,Avenida Fernando Belaunde S/N 4ta Etapa del Distrito de Constitución
456,16.- AMAZONAS,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,1,OR,OPERATIVO,OR CHACHAPOYAS,08:45 a 16:45,SI,SI,SI,SI,SI,NO,SI,SI,SI,Jirón Ortiz Arrieta 1135- 1137
457,16.- AMAZONAS,AMAZONAS,BAGUA,BAGUA,2,PAP,OPERATIVO,PAP BAGUA,08:45 a 16:45,SI,SI,SI,SI,SI,NO,SI,SI,SI,Jirón Los Cedros Nº 263
458,16.- AMAZONAS,AMAZONAS,BONGARA,JAZAN,3,AG,OPERATIVO,AG BONGARA,08:45 a 16:45,SI,NO,SI,SI,SI,NO,SI,SI,NO,Avenida Marginal  Nº 100 -Pedro Ruíz
459,16.- AMAZONAS,AMAZONAS,LUYA ,LUYA ,4,AG,OPERATIVO ,AG LUYA,08:45 a 16:45,SI,NO,SI,SI,SI,NO,NO,NO,NO,Jirón Diego Mori Zuta N° 447
460,16.- AMAZONAS,AMAZONAS,RODRIGUEZ DE MENDOZA,SAN NICOLÁS,5,AG,OPERATIVO PARCIAL,AG RODRIGUEZ DE MENDOZA,08:45 a 16:45,SI,NO,SI,SI,SI,NO,NO,NO,NO,Jirón Victor Mori N° 204
461,16.- AMAZONAS,AMAZONAS,CONDORCANQUI,NIEVA,6,PAP,OPERATIVO,PAP CONDORCANQUI,08:45 a 16:45,S,NO,SI,SI,SI,NO,SI,SI,NO,Calle Gonzalo puerta S/N
462,16.- AMAZONAS,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,7,PAP,OPERATIVO,PAP UTCUBAMBA,08:45 a 16:45,SI,SI,SI,SI,SI,NO,SI,SI,SI,Jirón Simón Bolivar N° 545
463,16.- AMAZONAS,CAJAMARCA,JAEN,JAEN,158,OR,OPERATIVO,OR JAEN,08:45 a 16:45,SI,SI,SI,SI,SI,NO,SI,SI,SI,Calle Mariscal Ureta Nº 915
464,16.- AMAZONAS,CAJAMARCA,SAN IGNACIO,SAN IGNACIO,161,PAP,OPERATIVO,PAP SAN IGNACIO,08:45 a 16:45,SI,NO,SI,SI,SI,NO,SI,SI,NO,Pasaje Santa Rosa 107 - 109 - cuadra 1
465,16.- AMAZONAS,AMAZONAS,BAGUA,IMAZA,234,OR,OPERATIVO ,OR IMAZA,08:45 a 16:45,SI,SI,SI,SI,SI,SI,SI,SI,SI,Avenida Awajun 751 Centro Poblado Chiriaco
466,16.- AMAZONAS,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,363,ORA,OPERATIVO,ORA HOSPITAL REGIONAL VIRGEN DE FATIMA (MINSA),08:45 a 16:30,SI,SI,NO,SI,SI,SI,NO,NO,NO,Pasaje Daniel Alcides Carrión N° 035
467,16.- AMAZONAS,AMAZONAS,BAGUA,BAGUA,452,ORA,OPERATIVO,ORA HOSPITAL DE APOYO GUSTAVO LANATTA LUJAN (MINSA),08:45 a 16:30,SI,SI,NO,SI,SI,SI,NO,NO,NO,Avenida Héroes de Cenepa N°980
468,16.- AMAZONAS,CAJAMARCA,JAEN,JAEN,453,ORA,OPERATIVO,ORA HOSPITAL GENERAL DE JAEN (MINSA),08:45 a 16:30,SI,SI,NO,SI,SI,SI,NO,NO,NO,Prolongación Huamantanga s/n
469,16.- AMAZONAS,AMAZONAS,BAGUA,IMAZA,471,ORA,OPERATIVO,ORA CHIRIACO (MINSA),08:45 a 16:30,SI,SI,NO,SI,SI,SI,NO,NO,NO,Calle Junin S/N
470,16.- AMAZONAS,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,472,ORA,OPERATIVO,ORA HOSPITAL DE APOYO SANTIAGO APOSTOL DE UTCUBAMBA (MINSA),08:45 a 16:30,SI,SI,NO,SI,SI,SI,NO,NO,NO,Jirón San Felipe Santiago N°111
471,16.- AMAZONAS,CAJAMARCA,SAN IGNACIO,SAN IGNACIO,476,ORA,OPERATIVO,ORA SAN IGNACIO (MINSA),08:45 a 16:30,SI,SI,NO,SI,SI,SI,NO,NO,NO,"Avenida Abelardo Quiñones S/N, Sector Santiago"
472,16.- AMAZONAS,AMAZONAS,BONGARA,FLORIDA,619,ORA,OPERATIVO ,ORA POMACOCHAS (MINSA),08:45 a 16:30,SI,SI,NO,SI,SI,SI,NO,NO,NO,Jirón Pomacochas S/N 
473,16.- AMAZONAS,AMAZONAS,CONDORCANQUI,NIEVA,344,ORA,OPERATIVO,ORA SANTA MARIA DE NIEVA (MINSA),08:45 a 16:30,SI,SI,NO,SI,SI,SI,NO,NO,NO,"Jirón Javier Pérez de Cuellar S/N 
Mz. N Lt. 03 Asent.Humano Héctor Peas Tsegkuan"
474,16.- AMAZONAS,AMAZONAS,UTCUBAMBA,LONYA GRANDE,652,ORA,OPERATIVO ,ORA LONYA GRANDE (MINSA),08:45 a 16:30,SI,SI,SI,SI,SI,SI,NO,NO,NO,Jirón Alto Amazonas 340
475,16.- AMAZONAS,AMAZONAS,CONDORCANQUI,RIO SANTIAGO,475,ORA,OPERATIVO,ORA GALILEA (MINSA),08:45 a 16:30,SI,SI,NO,SI,SI,SI,NO,NO,NO,Jirón La Amistad S/N
476,16.- AMAZONAS,CAJAMARCA,JAEN,PUCARA,720,PAP,OPERATIVO ,PAP PUCARA,08:45 a 16:45,SI,NO,SI,SI,SI,NO,NO,NO,NO,Jiron Lindo 548
