CENTROS DE ATENCIÓN DEL RENIEC A NIVEL NACIONAL A JULIO 2025;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
N°;CODIGO SIO DNI NUM;DEPARTAMENTO;PROVINCIA;DISTRITO;OFICINAS REGIONALES/U.O.;TIPO DE LOCAL;SIGLA TIPO DE LOCAL;CENTRO DE ATENCIÓN;HORARIO DE ATENCIÓN AL PUBLICO;NOMBRE DE LA VIA;"ESTADO
Operativo: Atiente de lunes a viernes
Deplazamiento: Atiende de acuerdo a la programación de RENIEC"; ¿Este Centro de Atención toma fotografía? ; ¿Este Centro de Atención entrega DNI Electrónico? ; TRAMITE DE DNI MAYOR ; TRAMITE DE DNI MENOR ; ENTREGAS DE DNI ; INSCRIPCION DE REGISTROS CIVILES ; CERTIFICACION DE REGISTROS CIVILES ; CERTIFICACION DEL RUIPN ; EREP ;;;
449;502;PASCO;DANIEL ALCIDES CARRION;YANAHUANCA;;;;PAP DANIEL ALCIDES CARRIÓN;08:45 a 16:45;Jirón Jorge Chavez S/N Plaza Principal;OPERATIVO;NO;NO;SI;SI;SI;NO;SI;SI;NO;;;
450;503;PASCO;OXAPAMPA;OXAPAMPA;;;;PAP OXAPAMPA;08:45 a 16:45;Jirón Huancabamba S/N Mz. 162 Estadio Municipal Oxapampa;OPERATIVO;SI;SI;SI;SI;SI;NO;SI;SI;SI;;;
451;541;SAN MARTIN;TOCACHE;UCHIZA;;;;AG UCHIZA;08:45 a 16:45;Avenida Atahualpa N° 920;OPERATIVO;NO;NO;SI;SI;SI;NO;NO;NO;NO;;;
452;580;PASCO;OXAPAMPA;PALCAZÚ;;;;AG PALCAZU;08:45 a 16:45;Avenida Juan Santos Atahualpa Mz. U Lt. 01;OPERATIVO;SI;NO;SI;SI;SI;NO;SI;SI;NO;;;
453;588;SAN MARTIN;TOCACHE;TOCACHE;;;;PAP TOCACHE;08:45 a 16:45;Jirón San Juan Cdra 7 S/N Centro Cívico;OPERATIVO;SI;SI;SI;SI;SI;NO;SI;SI;SI;;;
454;596;HUANUCO;HUANUCO;CHINCHAO;;;;ORA ACOMAYO (MINSA);08:45 a 16:30;Pasaje Iguarizo S/N Mz. 6 Lt. 02;OPERATIVO;SI;NO;NO;SI;SI;SI;NO;NO;NO;;;
455;650;SAN MARTIN;TOCACHE;TOCACHE;;;;ORA HOSPITAL DE TOCACHE (MINSA);08:45 a 16:30;Jirón Ricardo Palma N° 550;OPERATIVO;SI;NO;NO;SI;SI;SI;NO;NO;NO;;;
456;653;HUANUCO;HUANUCO;SANTA MARIA DEL VALLE;;;;ORA SANTA MARIA DEL VALLE (MINSA);08:45 a 16:30;Jirón Libertad  S/N Intersección Carretera Central ;DESPLAZAMIENTO;SI;NO;NO;SI;SI;SI;NO;NO;NO;;;
457;749;HUANUCO;HUANUCO ;AMARILIS ;;;;ORA CARLOS SHOWING FERRARI (MINSA);08:45 a 16:30;Jirón Micaela Bastidas S/N Paucarbamba ;OPERATIVO;SI;NO;NO;SI;SI;SI;NO;NO;NO;;;
458;660;PASCO;OXAPAMPA;OXAPAMPA;;;;ORA HOSPITAL ERNESTO GERMAN GUZMAN GONZALES (MINSA);08:45 a 16:30;Jirón Eduardo Loechle S/N - Chontabamba;DESPLAZAMIENTO;SI;NO;NO;SI;SI;SI;NO;NO;NO;;;
459;802;HUANUCO;HUANUCO;HUANUCO;;;;MAC - HUÁNUCO;08:30 a 16:30;Jirón Independencia N° 1601, Centro Comercial Real Plaza, Primer Piso;OPERATIVO;SI;SI;SI;SI;SI;NO;SI;SI;SI;;;
460;597;HUANUCO;PACHITEA;UMARI;;;;ORA TAMBILLO UMARI (MINSA);08:45 a 16:30;Carretera Huanuco - Panao Km 37;DESPLAZAMIENTO;SI;NO;NO;SI;SI;SI;NO;NO;NO;;;
461;644;HUANUCO;YAROWILCA;CHAVINILLO;;;;ORA CHAVINILLO (MINSA);08:45 a 16:30;Avenida San Juan N° 102;DESPLAZAMIENTO;SI;NO;NO;SI;SI;SI;NO;NO;NO;;;
462;548;PASCO;OXAPAMPA;CONSTITUCIÓN;;;;AG CONSTITUCION;08:45 a 16:45;Avenida Fernando Belaunde S/N 4ta Etapa del Distrito de Constitución;OPERATIVO;NO;NO;SI;SI;SI;NO;NO;NO;NO;;;
463;1;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;;;;OR CHACHAPOYAS;08:45 a 16:45;Jirón Ortiz Arrieta 1135- 1137;OPERATIVO;SI;SI;SI;SI;SI;NO;SI;SI;SI;;;
464;2;AMAZONAS;BAGUA;BAGUA;;;;PAP BAGUA;08:45 a 16:45;Jirón Los Cedros Nº 263;OPERATIVO;SI;SI;SI;SI;SI;NO;SI;SI;SI;;;
465;3;AMAZONAS;BONGARA;JAZAN;;;;AG BONGARA;08:45 a 16:45;Avenida Marginal  Nº 100 -Pedro Ruíz;OPERATIVO;SI;NO;SI;SI;SI;NO;SI;SI;NO;;;
466;4;AMAZONAS;LUYA ;LUYA ;;;;AG LUYA;08:45 a 16:45;Jirón Diego Mori Zuta N° 447;OPERATIVO;SI;NO;SI;SI;SI;NO;NO;NO;NO;;;
467;5;AMAZONAS;RODRIGUEZ DE MENDOZA;SAN NICOLÁS;;;;AG RODRIGUEZ DE MENDOZA;08:45 a 16:45;Jirón Victor Mori N° 204;OPERATIVO;SI;NO;SI;SI;SI;NO;NO;NO;NO;;;
468;6;AMAZONAS;CONDORCANQUI;NIEVA;;;;PAP CONDORCANQUI;08:45 a 16:45;Calle Gonzalo puerta S/N;OPERATIVO;S;NO;SI;SI;SI;NO;SI;SI;NO;;;
469;7;AMAZONAS;UTCUBAMBA;BAGUA GRANDE;;;;PAP UTCUBAMBA;08:45 a 16:45;Jirón Simón Bolivar N° 545;OPERATIVO;SI;SI;SI;SI;SI;NO;SI;SI;SI;;;
470;158;CAJAMARCA;JAEN;JAEN;;;;OR JAEN;08:45 a 16:45;Calle Mariscal Ureta Nº 915;OPERATIVO;SI;SI;SI;SI;SI;NO;SI;SI;SI;;;
471;161;CAJAMARCA;SAN IGNACIO;SAN IGNACIO;;;;PAP SAN IGNACIO;08:45 a 16:45;Pasaje Santa Rosa 107 - 109 - cuadra 1;OPERATIVO;SI;NO;SI;SI;SI;NO;SI;SI;NO;;;
472;234;AMAZONAS;BAGUA;IMAZA;;;;OR IMAZA;08:45 a 16:45;Avenida Awajun 751 Centro Poblado Chiriaco;OPERATIVO ;SI;SI;SI;SI;SI;SI;SI;SI;SI;;;
473;363;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;;;;ORA HOSPITAL REGIONAL VIRGEN DE FATIMA (MINSA);08:45 a 16:30;Pasaje Daniel Alcides Carrión N° 035;OPERATIVO;SI;SI;NO;SI;SI;SI;NO;NO;NO;;;
474;452;AMAZONAS;BAGUA;BAGUA;;;;ORA HOSPITAL DE APOYO GUSTAVO LANATTA LUJAN (MINSA);08:45 a 16:30;Avenida Héroes de Cenepa N°980;OPERATIVO;SI;SI;NO;SI;SI;SI;NO;NO;NO;;;
475;453;CAJAMARCA;JAEN;JAEN;;;;ORA HOSPITAL GENERAL DE JAEN (MINSA);08:45 a 16:30;Prolongación Huamantanga s/n;OPERATIVO;SI;SI;NO;SI;SI;SI;NO;NO;NO;;;
476;471;AMAZONAS;BAGUA;IMAZA;;;;ORA CHIRIACO (MINSA);08:45 a 16:30;Calle Junin S/N;OPERATIVO;SI;SI;NO;SI;SI;SI;NO;NO;NO;;;
477;472;AMAZONAS;UTCUBAMBA;BAGUA GRANDE;;;;ORA HOSPITAL DE APOYO SANTIAGO APOSTOL DE UTCUBAMBA (MINSA);08:45 a 16:30;Jirón San Felipe Santiago N°111;OPERATIVO;SI;SI;NO;SI;SI;SI;NO;NO;NO;;;
478;476;CAJAMARCA;SAN IGNACIO;SAN IGNACIO;;;;ORA SAN IGNACIO (MINSA);08:45 a 16:30;Avenida Abelardo Quiñones S/N, Sector Santiago;OPERATIVO;SI;SI;NO;SI;SI;SI;NO;NO;NO;;;
479;619;AMAZONAS;BONGARA;FLORIDA;;;;ORA POMACOCHAS (MINSA);08:45 a 16:30;Jirón Pomacochas S/N ;OPERATIVO ;SI;SI;NO;SI;SI;SI;NO;NO;NO;;;
480;344;AMAZONAS;CONDORCANQUI;NIEVA;;;;ORA SANTA MARIA DE NIEVA (MINSA);08:45 a 16:30;Jirón Javier Pérez de Cuellar S/N Mz. N Lt. 03 Asent.Humano Héctor Peas Tsegkuan;OPERATIVO;SI;SI;NO;SI;SI;SI;NO;NO;NO;;;
481;652;AMAZONAS;UTCUBAMBA;LONYA GRANDE;;;;ORA LONYA GRANDE (MINSA);08:45 a 16:30;Jirón Alto Amazonas 340;OPERATIVO ;SI;SI;SI;SI;SI;SI;NO;NO;NO;;;
482;475;AMAZONAS;CONDORCANQUI;RIO SANTIAGO;;;;ORA GALILEA (MINSA);08:45 a 16:30;Jirón La Amistad S/N;OPERATIVO;SI;SI;NO;SI;SI;SI;NO;NO;NO;;;
483;720;CAJAMARCA;JAEN;PUCARA;;;;PAP PUCARA;08:45 a 16:45;Jiron Lindo 548;OPERATIVO;SI;NO;SI;SI;SI;NO;NO;NO;NO;;;
